"english", "bosnian"
"guess, guessed", "pogoditi"
"happen, happened", "dogoditi se"
"help, helped", "pomoći"
"hunt, hunted", "loviti"
"hurry, hurried", "žuriti se"
"imagine, imagined", "zamisliti"
"iron, ironed", "glačati, peglati"
"judge, judged", "suditi"
"kiss, kissed", "poljubiti"
"kill, killed", "ubiti"
"laugh, laughed", "smijati se"
"leak, leaked", "curiti"
"like, liked", "voljeti"
"lock, locked", "zaključati"
"look, looked", "pogledati"
"love, loved", "voljeti"
"mark, marked", "označiti"
"milk, milked", "musti"
"miss, missed", "nedostajati"
"manage, managed", "upravljati"
"marry, married", "oženiti"
"massage, massaged", "amsirati"
"measure, measured", "mjeriti"
"move, moved", "kretati se"
"observe, observed", "promatrati"
"offer, offered", "ponuditi"
"open, opened", "otvoriti"
"order, ordered", "naručiti"
"park, parked", "parkirati"
"pass, passed", "proći"
"perform, performed", "izvoditi"
"phone, phoned", "telefonirati"
"pick, picked", "pokupiti"
"plan, planed", "planirati"
"play, played", "igrati"
"please, pleased", "zadovoljiti"
"plough, ploughed", "orati"
"polish, polished", "polirati"
"pour, poured", "sipati"
"practice, practiced", "vježbati"
"pray, prayed", "moliti"
"prefer, preferred", "preferirati"
"promise, promised", "obećavati"
"pronounce, pronounced", "izgovoriti"
"pull, pulled", "povući"
"punish, punished", "kazniti"
"push, pushed", "gurati"
"repeat, repeated", "ponoviti"
"report, reported", "prijaviti"
"request, requested", "zatražiti"
"rest, rested", "odmoriti"
"reach, reached", "dosegnuti"
"refuse, refused", "odbiti"
"raise, raised", "podići"
"rain, rained", "kišiti"
"realize, realized", "shvatiti"
"register, registered", "registrirati se"
"receive, received", "primiti"
"remain, remained", "ostati"
"remember, remembered", "zapamtiti"
"repair, repaired", "popraviti"
"require, required", "zahtijevati"
"reserve, reserved", "rezervirati"
"row, rowed", "veslati"
"resolve, resolved", "riješiti"
"return, returned", "vratiti"
"save, saved", "spremiti"
"search, searched", "tražiti"
"serve, served", "služi"
"settle, settled", "za podmirenje"
"sign, signed", "potpisati"
"slap, slapped", "ošamariti"
"slip, slipped", "poskliznuti se"
"smile, smiled", "nasmiješiti"
"smoke, smoked", "pušiti"
"snow, snowed", "snježiti"
"split, spilled", "razdvojiti, rastaviti, podijeliti"
"stage, staged", "izvesti, posatviti na sceni"
"stay, stayed", "ostati"
"stretch, stretched", "rastegnuti"
"stop, stopped", "zaustaviti"
"study, studied", "učiti"
"suffer, suffered", "trpjeti"
"swallow, swallowed", "progutati"
"switch, switched", "zamijeniti"
"tackle, tackled", "oboriti"
"talk, talked", "pričati"
"thank, thanked", "zahvaliti"
"tire, tired", "zamoriti se"
"touch, touched", "dodirnuti"
"trap, trapped", "zarobiti"
"train, trained", "trenirati"
"travel, travelled", "putovati"
"trouble, troubled", "u nevolji"
"try, tried", "pokušati"
"turn, turned", "okrenuti"
"use, used", "koristiti"
"unpack, unpacked", "raspakirati"
"visit, visited", "posjetiti"
"wait, waited", "čekati"
"walk, walked", "hodati"
"wash, washed", "oprati"
"watch, watched", "gledati"
"warm, warmed", "zagrijati"
"warn, warned", "upozoriti"
"water, watered", "zalijevati"
"weigh, weighed", "težiti"
"wish, wished", "poželjeti"
"work, worked", "raditi"
"wreck, wrecked", "razrušiti"
