"english", "bosnian"
"warm", "zagrijati"
"warn", "upozoriti"
"water", "zalijevati"
"weigh", "težiti"
"wish", "poželjeti"
"work", "raditi"
"wreck", "razrušiti"
"arise", "uzdići se"
"awake", "probuditi se"
"be", "biti"
"bear", "podnijeti"
"beat", "pobijediti"
"become", "postati"
"begin", "početi"
"bend", "savijati"
"bet", "kladiti se"
"bind", "vezati"
"bite", "ugristi"
"bleed", "krvariti"
"blow", "puhati"
"break", "slomiti"
"breed", "uzgajati"
"bring", "donijeti"
"broadcast", "emitirati"
"build", "graditi"
"burn", "gorjeti, zapaliti"
"burst", "prsnuti"
"buy", "kupiti"
"can", "može"
"catch", "uhvatiti"
"choose", "izabrati"
"cling", "prijanjati"
"come", "doći"
"cost", "koštati"
"creep", "šunjati se"
"cut", "rezati"
"deal", "dogovoriti se"
"dig", "kopati"
"do", "napraviti, uraditi"
"draw", "crtati"
"dream", "sanjati"
"drink", "piti"
"drive", "voziti"
"eat", "jesti"
"fall", "pasti"
"feed", "hraniti"
"feel", "osjećati"
"fight", "boriti se"
"find", "pronaći"
"fly", "letjeti"
"forbid", "zabraniti"
"forget", "zaboraviti"
"forgive", "oprostiti"
"freeze", "zamrznuti"
"get", "dobiti"
"give", "dati"
"go", "ići"
"grind", "mljeti"
"grow", "rasti"
"hang", "objesiti"
"have", "imati"
"hear", "čuti"
"hide", "sakriti"
"hit", "pogoditi"
"hold", "držati"
"hurt", "ozlijediti"
"keep", "zadržati"
"kneel", "kleknuti"
"know", "znati"
"lay", "položiti"
"lead", "voditi"
"lean", "nagnuti se"
"learn", "učiti"
"leave", "otići"
"lent", "posuditi"
"lie", "ležati"
"lie", "lagati"
"light", "osvijetliti"
"lose", "izgubiti"
"make", "napraviti"
"may", "moći"
"mean", "značiti"
"meet", "upoznati"
"mow", "kositi"
"must", "morati"
"overtake", "preteći"
"pay", "platiti"
"put", "staviti"
"read", "čitati"
"ride", "jahati"
"ring", "zvoniti"
"rise", "ustati"
"run", "trčati"
"saw", "Vidjeti"
"say", "reći"
"see", "vidjeti"
"sell", "prodati"
"send", "poslati"
"set", "postaviti"
"sew", "šivati"
"shake", "tresti"
"shall", "to će"
"shed", "proliti"
"shine", "sjajiti"
"shoot", "pucati"
"show", "pokazati"
"shrink", "skupiti se"
"shut", "pucati"
"sing", "pjevati"
"sink", "potonuti"
"sit", "sjesti"
"sleep", "spavati"
"slide", "skliznuti"
"smell", "mirisati"
"sow", "sniježiti"
"speak", "govoriti"
"spell", "spelovati, slovkati"
"spend", "potrošiti"
"spill", "proliti"
"spit", "pljunuti"
"spread", "raširiti"
"stand", "stajati"
"steal", "ukrasti"
"stick", "nataknuti"
"sting", "ubosti"
"stink", "zaudarati, smrdjeti"
"strike", "štrajkovati, udariti"
"swear", "psovati"
"sweep", "pomesti"
"swell", "oteći, naduti"
"swim", "plivati"
"swing", "ljuljati se"
"take", "uzeti"
"teach", "podučavati"
"tear", "poderati, pocijepati"
"tell", "reći"
"think", "misliti"
"throw", "baciti"
"understand", "razumjeti"
"wake", "probuditi"
"wear", "nositi"
"weep", "plakati"
"will", "htjeti"
"win", "pobjediti"
"wind", "naviti, namotati"
"write", "napisati"
